 NAME NORB NELEC  NPQ   ZETAS     ZETAP     ZETAD    ZETAD2    DZCOEF    DZCOEF2
#  K    1.0000  6.6300  4.3000   .0000   .0000   .0000   .0000   .0000   .0000
   K    1.0000  3.9500  4.5200   .0000  2.9160  2.8840   .0000   .0000   .0000
# Ca     .0000  5.7900  6.2100   .0000   .0000  3.6100   .0000   .0000   .0000
  Ca     .0000  4.7360  6.5640   .0000  3.7700  4.0680   .0000   .0000   .0000
# Sc     .0000  6.0500  6.6700   .0000  4.9600  4.3200   .0000 11.3600  4.6500
  Sc     .0000  4.7650  6.1230   .0000  3.6440  3.6640   .0000 10.2610  6.0670
# Ti    1.1500  6.2400  6.0200   .9700  4.4100  3.3300  2.2900  9.6500  5.5300
  Ti    1.1500  5.0370  6.5200   .9700  3.8340  3.8080  2.2900 11.6080  7.1770
#  V    1.0600  6.7100  6.3200   .9200  5.6300  3.4300  1.7300 10.7800  6.3700
   V    1.0600  5.2760  6.8500   .9200  3.9880  3.9100  1.7300 12.8370  8.1810
# Cr    1.0000  7.1300  6.5900   .9000  5.8900  3.5200  1.2100 11.8900  7.1700
  Cr    1.0000  5.4940  7.1410   .9000  4.1190  3.9890  1.2100 13.9970  9.1090
# Mn     .9400  7.5500  6.8500   .8900  6.1100  3.6200   .6800 13.0100  7.9400
  Mn     .9400  5.6970  7.4090   .8900  4.2340  4.0530   .6800 15.1100  9.9860
# Fe     .9100  7.9100  7.1000   .9000  6.2900  3.7000  1.7100 12.5800  8.6700
  FE     .9100  5.8900  7.6590   .9000  4.3370  4.1040  1.7100 16.1900 10.8220
# Co     .9000  8.2600  7.3200   .9400  6.4400  3.8000  1.7200 13.1600  9.3700
  Co     .9000  6.0740  7.8970   .9400  4.4300  4.1480  1.7200 17.2460 11.6250
# Ni     .9100  8.5600  7.5300   .9900  6.5500  3.8900  1.7600 13.7200 10.0200
  Ni     .9100  6.2520  8.1250   .9900  4.5150  4.1840  1.7600 18.2830 12.4040
# Cu     .9400  8.8300  7.7200  1.0500  6.6300  3.9800  1.8300 14.2400 10.6600
  Cu     .9400  6.4240  8.3450  1.0500  4.5930  4.2160  1.8300 19.3060 13.1620
# Zn     .0000   .0000  7.8300   .0000   .0000  4.0900   .0000   .0000 11.2400
  Zn     .0000  7.0030 10.1410   .0000  5.1890  5.1000   .0000 21.1580 19.7920
# Ga     .0000  7.6200 12.7900   .0000   .0000  5.8700   .0000   .0000   .0000
